"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/04/07","22:30","0.904","-","1.97"
"2022/04/07","22:36","0.896","-","2.03"
"2022/04/07","22:42","0.888","-","2.03"
"2022/04/07","22:48","0.879","-","2.03"
"2022/04/07","22:54","0.87","-","1.98"
"2022/04/07","23:00","0.861","-","1.99"
"2022/04/07","23:06","0.851","-","1.92"
"2022/04/07","23:12","0.841","-","1.91"
"2022/04/07","23:18","0.831","-","1.91"
"2022/04/07","23:24","0.821","-","1.86"
"2022/04/07","23:30","0.81","-","1.99"
"2022/04/07","23:36","0.799","-","1.88"
"2022/04/07","23:42","0.789","-","1.91"
"2022/04/07","23:48","0.778","-","1.96"
"2022/04/07","23:54","0.768","-","1.78"
"2022/04/08","00:00","0.759","-","1.91"
"2022/04/08","00:06","0.75","-","1.96"
"2022/04/08","00:12","0.742","-","1.88"
"2022/04/08","00:18","0.734","-","1.86"
"2022/04/08","00:24","0.728","-","1.97"
"2022/04/08","00:30","0.723","-","1.98"
"2022/04/08","00:36","0.72","-","1.91"
"2022/04/08","00:42","0.717","-","1.94"
"2022/04/08","00:48","0.717","-","1.99"
"2022/04/08","00:54","0.717","-","2.02"
"2022/04/08","01:00","0.72","-","2.09"
"2022/04/08","01:06","0.724","-","2.11"
"2022/04/08","01:12","0.73","-","2.08"
"2022/04/08","01:18","0.738","-","2.09"
"2022/04/08","01:24","0.747","-","2.21"
"2022/04/08","01:30","0.759","-","2.25"
"2022/04/08","01:36","0.771","-","2.25"
"2022/04/08","01:42","0.786","-","2.31"
"2022/04/08","01:48","0.802","-","2.36"
"2022/04/08","01:54","0.82","-","2.34"
"2022/04/08","02:00","0.838","-","2.36"
"2022/04/08","02:06","0.859","-","2.4"
"2022/04/08","02:12","0.88","-","2.41"
"2022/04/08","02:18","0.902","-","2.48"
"2022/04/08","02:24","0.925","-","2.49"
"2022/04/08","02:30","0.949","-","2.5"
"2022/04/08","02:36","0.973","-","2.52"
"2022/04/08","02:42","0.998","-","2.49"
"2022/04/08","02:48","1.023","-","2.62"
"2022/04/08","02:54","1.049","-","2.58"
"2022/04/08","03:00","1.074","-","2.58"
"2022/04/08","03:06","1.1","-","2.64"
"2022/04/08","03:12","1.125","-","2.72"
"2022/04/08","03:18","1.15","-","2.72"
"2022/04/08","03:24","1.175","-","2.71"
"2022/04/08","03:30","1.199","-","2.8"
"2022/04/08","03:36","1.223","-","2.86"
"2022/04/08","03:42","1.247","-","2.89"
"2022/04/08","03:48","1.27","-","2.91"
"2022/04/08","03:54","1.292","-","3"
"2022/04/08","04:00","1.315","-","3.03"
"2022/04/08","04:06","1.336","-","3.1"
"2022/04/08","04:12","1.358","-","3.14"
"2022/04/08","04:18","1.379","-","3.21"
"2022/04/08","04:24","1.4","-","3.24"
"2022/04/08","04:30","1.42","-","3.26"
"2022/04/08","04:36","1.44","-","3.3"
"2022/04/08","04:42","1.461","-","3.31"
"2022/04/08","04:48","1.481","-","3.31"
"2022/04/08","04:54","1.501","-","3.41"
"2022/04/08","05:00","1.521","-","3.38"
"2022/04/08","05:06","1.541","-","3.45"
"2022/04/08","05:12","1.561","-","3.47"
"2022/04/08","05:18","1.581","-","3.47"
"2022/04/08","05:24","1.6","-","3.46"
"2022/04/08","05:30","1.62","-","3.59"
"2022/04/08","05:36","1.639","-","3.54"
"2022/04/08","05:42","1.658","-","3.67"
"2022/04/08","05:48","1.677","-","3.73"
"2022/04/08","05:54","1.695","-","3.67"
"2022/04/08","06:00","1.712","-","3.72"
"2022/04/08","06:06","1.729","-","3.74"
"2022/04/08","06:12","1.744","-","3.71"
"2022/04/08","06:18","1.758","-","3.73"
"2022/04/08","06:24","1.771","-","3.79"
"2022/04/08","06:30","1.783","-","3.77"
"2022/04/08","06:36","1.793","-","3.74"
"2022/04/08","06:42","1.801","-","3.83"
"2022/04/08","06:48","1.807","-","3.74"
"2022/04/08","06:54","1.811","-","3.73"
"2022/04/08","07:00","1.813","-","3.8"
"2022/04/08","07:06","1.813","-","3.71"
"2022/04/08","07:12","1.81","-","3.71"
"2022/04/08","07:18","1.806","-","3.93"
"2022/04/08","07:24","1.799","-","3.79"
"2022/04/08","07:30","1.79","-","3.73"
"2022/04/08","07:36","1.779","-","3.95"
"2022/04/08","07:42","1.765","-","3.92"
"2022/04/08","07:48","1.75","-","3.59"
"2022/04/08","07:54","1.733","-","3.75"
"2022/04/08","08:00","1.715","-","3.62"
"2022/04/08","08:06","1.695","-","3.47"
"2022/04/08","08:12","1.674","-","3.73"
"2022/04/08","08:18","1.651","-","3.57"
"2022/04/08","08:24","1.628","-","3.47"
"2022/04/08","08:30","1.604","-","3.43"
"2022/04/08","08:36","1.58","-","3.46"
"2022/04/08","08:42","1.555","-","3.38"
"2022/04/08","08:48","1.53","-","3.46"
"2022/04/08","08:54","1.505","-","3.45"
"2022/04/08","09:00","1.48","-","3.31"
"2022/04/08","09:06","1.456","-","3.33"
"2022/04/08","09:12","1.431","-","3.28"
"2022/04/08","09:18","1.407","-","3.23"
"2022/04/08","09:24","1.384","-","3.24"
"2022/04/08","09:30","1.361","-","3.22"
"2022/04/08","09:36","1.338","-","3.19"
"2022/04/08","09:42","1.316","-","3.07"
"2022/04/08","09:48","1.293","-","3.22"
"2022/04/08","09:54","1.272","-","3.13"
"2022/04/08","10:00","1.25","-","2.99"
"2022/04/08","10:06","1.228","-","2.93"
"2022/04/08","10:12","1.207","-","2.96"
"2022/04/08","10:18","1.185","-","2.92"
"2022/04/08","10:24","1.163","-","2.84"
"2022/04/08","10:30","1.141","-","2.81"
"2022/04/08","10:36","1.118","-","2.73"
"2022/04/08","10:42","1.094","-","2.75"
"2022/04/08","10:48","1.07","-","2.71"
"2022/04/08","10:54","1.045","-","2.63"
"2022/04/08","11:00","1.02","-","2.64"
"2022/04/08","11:06","0.994","-","2.58"
"2022/04/08","11:12","0.967","-","2.55"
"2022/04/08","11:18","0.939","-","2.37"
"2022/04/08","11:24","0.91","-","2.33"
"2022/04/08","11:30","0.881","-","2.26"
"2022/04/08","11:36","0.852","-","2.24"
"2022/04/08","11:42","0.821","-","2.24"
"2022/04/08","11:48","0.791","-","2.13"
"2022/04/08","11:54","0.76","-","2.07"
"2022/04/08","12:00","0.73","-","2.07"
"2022/04/08","12:06","0.7","-","2.06"
"2022/04/08","12:12","0.669","-","1.95"
"2022/04/08","12:18","0.64","-","2.02"
"2022/04/08","12:24","0.611","-","1.88"
"2022/04/08","12:30","0.583","-","1.86"
"2022/04/08","12:36","0.557","-","1.82"
"2022/04/08","12:42","0.531","-","1.81"
"2022/04/08","12:48","0.507","-","1.73"
"2022/04/08","12:54","0.485","-","1.7"
"2022/04/08","13:00","0.464","-","1.68"
"2022/04/08","13:06","0.446","-","1.72"
"2022/04/08","13:12","0.429","-","1.68"
"2022/04/08","13:18","0.415","-","1.68"
"2022/04/08","13:24","0.403","-","1.63"
"2022/04/08","13:30","0.393","-","1.71"
"2022/04/08","13:36","0.386","-","1.67"
"2022/04/08","13:42","0.381","-","1.7"
"2022/04/08","13:48","0.379","-","1.64"
"2022/04/08","13:54","0.379","-","1.6"
"2022/04/08","14:00","0.381","-","1.61"
"2022/04/08","14:06","0.386","-","1.62"
"2022/04/08","14:12","0.393","-","1.56"
"2022/04/08","14:18","0.403","-","1.55"
"2022/04/08","14:24","0.414","-","1.58"
"2022/04/08","14:30","0.427","-","1.52"
"2022/04/08","14:36","0.443","-","1.52"
"2022/04/08","14:42","0.46","-","1.53"
"2022/04/08","14:48","0.478","-","1.5"
"2022/04/08","14:54","0.498","-","1.53"
"2022/04/08","15:00","0.52","-","1.52"
"2022/04/08","15:06","0.542","-","1.54"
"2022/04/08","15:12","0.565","-","1.59"
"2022/04/08","15:18","0.589","-","1.55"
"2022/04/08","15:24","0.614","-","1.6"
"2022/04/08","15:30","0.64","-","1.57"
"2022/04/08","15:36","0.665","-","1.56"
"2022/04/08","15:42","0.691","-","1.69"
"2022/04/08","15:48","0.717","-","1.68"
"2022/04/08","15:54","0.744","-","1.6"
"2022/04/08","16:00","0.77","-","1.68"
"2022/04/08","16:06","0.796","-","1.71"
"2022/04/08","16:12","0.822","-","1.71"
"2022/04/08","16:18","0.847","-","1.81"
"2022/04/08","16:24","0.873","-","1.82"
"2022/04/08","16:30","0.898","-","1.81"
"2022/04/08","16:36","0.923","-","1.87"
"2022/04/08","16:42","0.948","-","1.92"
"2022/04/08","16:48","0.973","-","1.93"
"2022/04/08","16:54","0.997","-","1.95"
"2022/04/08","17:00","1.021","-","1.96"
"2022/04/08","17:06","1.045","-","2.02"
"2022/04/08","17:12","1.069","-","2.08"
"2022/04/08","17:18","1.092","-","2.03"
"2022/04/08","17:24","1.116","-","2.03"
"2022/04/08","17:30","1.139","-","2.08"
"2022/04/08","17:36","1.162","-","2.1"
"2022/04/08","17:42","1.185","-","2.17"
"2022/04/08","17:48","1.208","-","2.16"
"2022/04/08","17:54","1.23","-","2.16"
"2022/04/08","18:00","1.252","-","2.24"
"2022/04/08","18:06","1.273","-","2.28"
"2022/04/08","18:12","1.293","-","2.23"
"2022/04/08","18:18","1.313","-","2.17"
"2022/04/08","18:24","1.332","-","2.23"
"2022/04/08","18:30","1.35","-","2.24"
"2022/04/08","18:36","1.367","-","2.24"
"2022/04/08","18:42","1.383","-","2.19"
"2022/04/08","18:48","1.397","-","2.21"
"2022/04/08","18:54","1.41","-","2.22"
"2022/04/08","19:00","1.421","-","2.22"
"2022/04/08","19:06","1.43","-","2.16"
"2022/04/08","19:12","1.438","-","2.18"
"2022/04/08","19:18","1.443","-","2.16"
"2022/04/08","19:24","1.447","-","2.17"
"2022/04/08","19:30","1.448","-","2.12"
"2022/04/08","19:36","1.447","-","2.15"
"2022/04/08","19:42","1.444","-","2.13"
"2022/04/08","19:48","1.439","-","2.14"
"2022/04/08","19:54","1.432","-","2.15"
"2022/04/08","20:00","1.424","-","2.08"
"2022/04/08","20:06","1.413","-","2.05"
"2022/04/08","20:12","1.401","-","2.07"
"2022/04/08","20:18","1.387","-","2.04"
"2022/04/08","20:24","1.372","-","2.01"
"2022/04/08","20:30","1.356","-","2.07"
"2022/04/08","20:36","1.338","-","2.01"
"2022/04/08","20:42","1.32","-","1.99"
"2022/04/08","20:48","1.302","-","2.03"
"2022/04/08","20:54","1.283","-","2.03"
"2022/04/08","21:00","1.264","-","2.01"
"2022/04/08","21:06","1.246","-","2.01"
"2022/04/08","21:12","1.227","-","1.99"
"2022/04/08","21:18","1.209","-","2.03"
"2022/04/08","21:24","1.191","-","1.97"
"2022/04/08","21:30","1.174","-","1.94"
"2022/04/08","21:36","1.158","-","1.99"
"2022/04/08","21:42","1.143","-","1.97"
"2022/04/08","21:48","1.128","-","1.95"
"2022/04/08","21:54","1.114","-","1.94"
"2022/04/08","22:00","1.102","-","1.89"
"2022/04/08","22:06","1.09","-","1.89"
"2022/04/08","22:12","1.078","-","1.85"
"2022/04/08","22:18","1.068","-","1.88"
"2022/04/08","22:24","1.058","-","1.88"
"2022/04/08","22:30","1.049","-","1.8"
"2022/04/08","22:36","1.04","-","1.86"
"2022/04/08","22:42","1.032","-","1.81"
"2022/04/08","22:48","1.023","-","1.79"
"2022/04/08","22:54","1.015","-","1.79"
"2022/04/08","23:00","1.007","-","1.84"
"2022/04/08","23:06","0.999","-","1.78"
"2022/04/08","23:12","0.99","-","1.75"
"2022/04/08","23:18","0.981","-","1.75"
"2022/04/08","23:24","0.971","-","1.73"
"2022/04/08","23:30","0.962","-","1.69"
"2022/04/08","23:36","0.951","-","1.73"
"2022/04/08","23:42","0.94","-","1.68"
"2022/04/08","23:48","0.929","-","1.64"
"2022/04/08","23:54","0.917","-","1.65"
"2022/04/09","00:00","0.905","-","1.67"
"2022/04/09","00:06","0.892","-","1.6"
"2022/04/09","00:12","0.879","-","1.6"
"2022/04/09","00:18","0.866","-","1.61"
"2022/04/09","00:24","0.853","-","1.59"
"2022/04/09","00:30","0.84","-","1.57"
"2022/04/09","00:36","0.827","-","1.56"
"2022/04/09","00:42","0.815","-","1.55"
"2022/04/09","00:48","0.803","-","1.52"
"2022/04/09","00:54","0.791","-","1.47"
"2022/04/09","01:00","0.78","-","1.49"
"2022/04/09","01:06","0.771","-","1.45"
"2022/04/09","01:12","0.762","-","1.44"
"2022/04/09","01:18","0.754","-","1.45"
"2022/04/09","01:24","0.748","-","1.42"
"2022/04/09","01:30","0.742","-","1.42"
"2022/04/09","01:36","0.739","-","1.43"
"2022/04/09","01:42","0.737","-","1.53"
"2022/04/09","01:48","0.736","-","1.46"
"2022/04/09","01:54","0.737","-","1.48"
"2022/04/09","02:00","0.74","-","1.58"
"2022/04/09","02:06","0.745","-","1.55"
"2022/04/09","02:12","0.751","-","1.54"
"2022/04/09","02:18","0.759","-","1.57"
"2022/04/09","02:24","0.768","-","1.6"
"2022/04/09","02:30","0.78","-","1.52"
"2022/04/09","02:36","0.792","-","1.52"
"2022/04/09","02:42","0.806","-","1.56"
"2022/04/09","02:48","0.822","-","1.62"
"2022/04/09","02:54","0.838","-","1.62"
"2022/04/09","03:00","0.856","-","1.64"
"2022/04/09","03:06","0.875","-","1.65"
"2022/04/09","03:12","0.894","-","1.68"
"2022/04/09","03:18","0.915","-","1.77"
"2022/04/09","03:24","0.936","-","1.76"
"2022/04/09","03:30","0.958","-","1.73"
"2022/04/09","03:36","0.979","-","1.77"
"2022/04/09","03:42","1.002","-","1.86"
"2022/04/09","03:48","1.024","-","1.84"
"2022/04/09","03:54","1.046","-","1.86"
"2022/04/09","04:00","1.069","-","1.91"
"2022/04/09","04:06","1.091","-","1.93"
"2022/04/09","04:12","1.113","-","1.92"
"2022/04/09","04:18","1.135","-","2"
"2022/04/09","04:24","1.156","-","1.97"
"2022/04/09","04:30","1.177","-","1.99"
"2022/04/09","04:36","1.198","-","2.07"
"2022/04/09","04:42","1.218","-","2.06"
"2022/04/09","04:48","1.238","-","2.1"
"2022/04/09","04:54","1.258","-","2.17"
"2022/04/09","05:00","1.277","-","2.22"
"2022/04/09","05:06","1.296","-","2.19"
"2022/04/09","05:12","1.314","-","2.27"
"2022/04/09","05:18","1.333","-","2.36"
"2022/04/09","05:24","1.351","-","2.32"
"2022/04/09","05:30","1.37","-","2.39"
"2022/04/09","05:36","1.388","-","2.44"
"2022/04/09","05:42","1.406","-","2.38"
"2022/04/09","05:48","1.425","-","2.43"
"2022/04/09","05:54","1.443","-","2.51"
"2022/04/09","06:00","1.461","-","2.47"
"2022/04/09","06:06","1.48","-","2.47"
"2022/04/09","06:12","1.499","-","2.59"
"2022/04/09","06:18","1.517","-","2.57"
"2022/04/09","06:24","1.536","-","2.48"
"2022/04/09","06:30","1.554","-","2.55"
"2022/04/09","06:36","1.573","-","2.64"
"2022/04/09","06:42","1.591","-","2.56"
"2022/04/09","06:48","1.608","-","2.58"
"2022/04/09","06:54","1.625","-","2.62"
"2022/04/09","07:00","1.642","-","2.53"
"2022/04/09","07:06","1.657","-","2.62"
"2022/04/09","07:12","1.672","-","2.62"
"2022/04/09","07:18","1.685","-","2.51"
"2022/04/09","07:24","1.698","-","2.53"
"2022/04/09","07:30","1.709","-","2.63"
"2022/04/09","07:36","1.718","-","2.55"
"2022/04/09","07:42","1.726","-","2.56"
"2022/04/09","07:48","1.732","-","2.56"
"2022/04/09","07:54","1.736","-","2.59"
"2022/04/09","08:00","1.739","-","2.65"
"2022/04/09","08:06","1.739","-","2.52"
"2022/04/09","08:12","1.738","-","2.59"
"2022/04/09","08:18","1.735","-","2.58"
"2022/04/09","08:24","1.729","-","2.53"
"2022/04/09","08:30","1.722","-","2.54"
"2022/04/09","08:36","1.714","-","2.56"
"2022/04/09","08:42","1.703","-","2.47"
"2022/04/09","08:48","1.691","-","2.52"
"2022/04/09","08:54","1.678","-","2.51"
"2022/04/09","09:00","1.663","-","2.44"
"2022/04/09","09:06","1.647","-","2.49"
"2022/04/09","09:12","1.63","-","2.51"
"2022/04/09","09:18","1.612","-","2.48"
"2022/04/09","09:24","1.594","-","2.51"
"2022/04/09","09:30","1.575","-","2.44"
"2022/04/09","09:36","1.555","-","2.51"
"2022/04/09","09:42","1.536","-","2.5"
"2022/04/09","09:48","1.516","-","2.37"
"2022/04/09","09:54","1.496","-","2.43"
"2022/04/09","10:00","1.476","-","2.42"
"2022/04/09","10:06","1.456","-","2.33"
"2022/04/09","10:12","1.436","-","2.37"
"2022/04/09","10:18","1.416","-","2.3"
"2022/04/09","10:24","1.396","-","2.26"
"2022/04/09","10:30","1.376","-","2.3"
"2022/04/09","10:36","1.356","-","2.27"
"2022/04/09","10:42","1.336","-","2.12"
"2022/04/09","10:48","1.316","-","2.07"
"2022/04/09","10:54","1.296","-","2.14"
"2022/04/09","11:00","1.275","-","2.12"
"2022/04/09","11:06","1.254","-","2.06"
"2022/04/09","11:12","1.233","-","2.04"
"2022/04/09","11:18","1.21","-","2.02"
"2022/04/09","11:24","1.188","-","2.01"
"2022/04/09","11:30","1.164","-","2.01"
"2022/04/09","11:36","1.14","-","1.88"
"2022/04/09","11:42","1.114","-","1.85"
"2022/04/09","11:48","1.088","-","1.87"
"2022/04/09","11:54","1.061","-","1.83"
"2022/04/09","12:00","1.034","-","1.78"
"2022/04/09","12:06","1.005","-","1.75"
"2022/04/09","12:12","0.976","-","1.74"
"2022/04/09","12:18","0.946","-","1.78"
"2022/04/09","12:24","0.915","-","1.73"
"2022/04/09","12:30","0.884","-","1.63"
"2022/04/09","12:36","0.852","-","1.7"
"2022/04/09","12:42","0.821","-","1.66"
"2022/04/09","12:48","0.789","-","1.68"
"2022/04/09","12:54","0.757","-","1.57"
"2022/04/09","13:00","0.726","-","1.59"
"2022/04/09","13:06","0.695","-","1.66"
"2022/04/09","13:12","0.665","-","1.54"
"2022/04/09","13:18","0.636","-","1.53"
"2022/04/09","13:24","0.607","-","1.51"
"2022/04/09","13:30","0.58","-","1.52"
"2022/04/09","13:36","0.555","-","1.57"
"2022/04/09","13:42","0.53","-","1.54"
"2022/04/09","13:48","0.508","-","1.39"
"2022/04/09","13:54","0.488","-","1.48"
"2022/04/09","14:00","0.469","-","1.5"
"2022/04/09","14:06","0.453","-","1.39"
"2022/04/09","14:12","0.438","-","1.36"
"2022/04/09","14:18","0.427","-","1.44"
"2022/04/09","14:24","0.417","-","1.47"
"2022/04/09","14:30","0.41","-","1.38"
"2022/04/09","14:36","0.405","-","1.3"
"2022/04/09","14:42","0.403","-","1.4"
"2022/04/09","14:48","0.403","-","1.4"
"2022/04/09","14:54","0.405","-","1.32"
"2022/04/09","15:00","0.41","-","1.33"
"2022/04/09","15:06","0.417","-","1.42"
"2022/04/09","15:12","0.426","-","1.32"
"2022/04/09","15:18","0.437","-","1.37"
"2022/04/09","15:24","0.45","-","1.38"
"2022/04/09","15:30","0.465","-","1.3"
"2022/04/09","15:36","0.481","-","1.35"
"2022/04/09","15:42","0.499","-","1.48"
"2022/04/09","15:48","0.519","-","1.33"
"2022/04/09","15:54","0.539","-","1.3"
"2022/04/09","16:00","0.561","-","1.44"
"2022/04/09","16:06","0.584","-","1.42"
"2022/04/09","16:12","0.607","-","1.42"
"2022/04/09","16:18","0.631","-","1.5"
"2022/04/09","16:24","0.655","-","1.52"
"2022/04/09","16:30","0.68","-","1.6"
"2022/04/09","16:36","0.705","-","1.62"
"2022/04/09","16:42","0.73","-","1.66"
"2022/04/09","16:48","0.756","-","1.66"
"2022/04/09","16:54","0.781","-","1.72"
"2022/04/09","17:00","0.806","-","1.72"
"2022/04/09","17:06","0.831","-","1.74"
"2022/04/09","17:12","0.855","-","1.81"
"2022/04/09","17:18","0.88","-","1.81"
"2022/04/09","17:24","0.904","-","1.85"
"2022/04/09","17:30","0.928","-","1.83"
"2022/04/09","17:36","0.952","-","1.8"
"2022/04/09","17:42","0.975","-","1.89"
"2022/04/09","17:48","0.998","-","1.92"
"2022/04/09","17:54","1.021","-","1.93"
"2022/04/09","18:00","1.044","-","1.93"
"2022/04/09","18:06","1.067","-","1.93"
"2022/04/09","18:12","1.089","-","2.01"
"2022/04/09","18:18","1.112","-","2.03"
"2022/04/09","18:24","1.134","-","2.02"
"2022/04/09","18:30","1.157","-","2.04"
"2022/04/09","18:36","1.179","-","2.07"
"2022/04/09","18:42","1.2","-","2.14"
"2022/04/09","18:48","1.222","-","2.11"
"2022/04/09","18:54","1.243","-","2.16"
"2022/04/09","19:00","1.264","-","2.12"
"2022/04/09","19:06","1.285","-","2.19"
"2022/04/09","19:12","1.305","-","2.2"
"2022/04/09","19:18","1.324","-","2.2"
"2022/04/09","19:24","1.343","-","2.18"
"2022/04/09","19:30","1.36","-","2.28"
"2022/04/09","19:36","1.377","-","2.29"
"2022/04/09","19:42","1.392","-","2.28"
"2022/04/09","19:48","1.406","-","2.29"
"2022/04/09","19:54","1.418","-","2.29"
"2022/04/09","20:00","1.429","-","2.34"
"2022/04/09","20:06","1.438","-","2.32"
"2022/04/09","20:12","1.446","-","2.26"
"2022/04/09","20:18","1.452","-","2.26"
"2022/04/09","20:24","1.455","-","2.28"
"2022/04/09","20:30","1.457","-","2.28"
"2022/04/09","20:36","1.457","-","2.23"
"2022/04/09","20:42","1.456","-","2.22"
"2022/04/09","20:48","1.452","-","2.23"
"2022/04/09","20:54","1.446","-","2.24"
"2022/04/09","21:00","1.439","-","2.22"
"2022/04/09","21:06","1.431","-","2.23"
"2022/04/09","21:12","1.42","-","2.18"
"2022/04/09","21:18","1.409","-","2.16"
"2022/04/09","21:24","1.396","-","2.16"
"2022/04/09","21:30","1.383","-","2.12"
"2022/04/09","21:36","1.368","-","2.14"
"2022/04/09","21:42","1.353","-","2.09"
"2022/04/09","21:48","1.338","-","2.01"
"2022/04/09","21:54","1.322","-","2.04"
"2022/04/09","22:00","1.306","-","2.04"
"2022/04/09","22:06","1.29","-","2.01"
"2022/04/09","22:12","1.274","-","1.98"
"2022/04/09","22:18","1.258","-","1.93"
"2022/04/09","22:24","1.243","-","1.9"
"2022/04/09","22:30","1.228","-","1.93"
"2022/04/09","22:36","1.214","-","1.89"
"2022/04/09","22:42","1.2","-","1.82"
"2022/04/09","22:48","1.186","-","1.76"
"2022/04/09","22:54","1.173","-","1.8"
"2022/04/09","23:00","1.161","-","1.76"
"2022/04/09","23:06","1.149","-","1.71"
"2022/04/09","23:12","1.137","-","1.63"
"2022/04/09","23:18","1.126","-","1.66"
"2022/04/09","23:24","1.114","-","1.66"
"2022/04/09","23:30","1.103","-","1.61"
"2022/04/09","23:36","1.092","-","1.57"
"2022/04/09","23:42","1.081","-","1.57"
"2022/04/09","23:48","1.07","-","1.53"
"2022/04/09","23:54","1.058","-","1.52"
"2022/04/10","00:00","1.046","-","1.48"
"2022/04/10","00:06","1.034","-","1.49"
"2022/04/10","00:12","1.021","-","1.43"
"2022/04/10","00:18","1.008","-","1.48"
"2022/04/10","00:24","0.994","-","1.46"
"2022/04/10","00:30","0.98","-","1.39"
"2022/04/10","00:36","0.965","-","1.46"
"2022/04/10","00:42","0.95","-","1.47"
"2022/04/10","00:48","0.935","-","1.38"
"2022/04/10","00:54","0.919","-","1.4"
"2022/04/10","01:00","0.903","-","1.39"
"2022/04/10","01:06","0.886","-","1.32"
"2022/04/10","01:12","0.87","-","1.31"
"2022/04/10","01:18","0.853","-","1.31"
"2022/04/10","01:24","0.837","-","1.26"
"2022/04/10","01:30","0.821","-","1.27"
"2022/04/10","01:36","0.806","-","1.27"
"2022/04/10","01:42","0.791","-","1.22"
"2022/04/10","01:48","0.777","-","1.24"
"2022/04/10","01:54","0.764","-","1.27"
"2022/04/10","02:00","0.751","-","1.21"
"2022/04/10","02:06","0.74","-","1.27"
"2022/04/10","02:12","0.731","-","1.23"
"2022/04/10","02:18","0.722","-","1.22"
"2022/04/10","02:24","0.715","-","1.26"
"2022/04/10","02:30","0.71","-","1.24"
"2022/04/10","02:36","0.707","-","1.22"
"2022/04/10","02:42","0.705","-","1.28"
"2022/04/10","02:48","0.704","-","1.26"
"2022/04/10","02:54","0.706","-","1.26"
"2022/04/10","03:00","0.709","-","1.27"
"2022/04/10","03:06","0.715","-","1.32"
"2022/04/10","03:12","0.722","-","1.31"
"2022/04/10","03:18","0.73","-","1.29"
"2022/04/10","03:24","0.741","-","1.32"
"2022/04/10","03:30","0.753","-","1.35"
"2022/04/10","03:36","0.766","-","1.32"
"2022/04/10","03:42","0.781","-","1.36"
"2022/04/10","03:48","0.797","-","1.33"
"2022/04/10","03:54","0.815","-","1.32"
"2022/04/10","04:00","0.833","-","1.38"
"2022/04/10","04:06","0.853","-","1.44"
"2022/04/10","04:12","0.873","-","1.39"
"2022/04/10","04:18","0.894","-","1.42"
"2022/04/10","04:24","0.916","-","1.46"
"2022/04/10","04:30","0.938","-","1.41"
"2022/04/10","04:36","0.96","-","1.4"
"2022/04/10","04:42","0.982","-","1.47"
"2022/04/10","04:48","1.005","-","1.43"
"2022/04/10","04:54","1.027","-","1.46"
"2022/04/10","05:00","1.049","-","1.5"
"2022/04/10","05:06","1.071","-","1.55"
"2022/04/10","05:12","1.093","-","1.57"
"2022/04/10","05:18","1.115","-","1.6"
"2022/04/10","05:24","1.136","-","1.65"
"2022/04/10","05:30","1.156","-","1.69"
"2022/04/10","05:36","1.176","-","1.69"
"2022/04/10","05:42","1.196","-","1.7"
"2022/04/10","05:48","1.216","-","1.83"
"2022/04/10","05:54","1.235","-","1.81"
"2022/04/10","06:00","1.253","-","1.82"
"2022/04/10","06:06","1.272","-","1.93"
"2022/04/10","06:12","1.29","-","1.95"
"2022/04/10","06:18","1.309","-","1.95"
"2022/04/10","06:24","1.327","-","2"
"2022/04/10","06:30","1.345","-","2.05"
"2022/04/10","06:36","1.364","-","2.11"
"2022/04/10","06:42","1.382","-","2.09"
"2022/04/10","06:48","1.401","-","2.1"
"2022/04/10","06:54","1.419","-","2.12"
"2022/04/10","07:00","1.438","-","2.18"
"2022/04/10","07:06","1.458","-","2.12"
"2022/04/10","07:12","1.477","-","2.19"
"2022/04/10","07:18","1.496","-","2.11"
"2022/04/10","07:24","1.516","-","2.18"
"2022/04/10","07:30","1.535","-","2.24"
"2022/04/10","07:36","1.555","-","2.18"
"2022/04/10","07:42","1.574","-","2.15"
"2022/04/10","07:48","1.593","-","2.24"
"2022/04/10","07:54","1.611","-","2.3"
"2022/04/10","08:00","1.628","-","2.22"
"2022/04/10","08:06","1.645","-","2.2"
"2022/04/10","08:12","1.661","-","2.29"
"2022/04/10","08:18","1.676","-","2.3"
"2022/04/10","08:24","1.69","-","2.28"
"2022/04/10","08:30","1.702","-","2.26"
"2022/04/10","08:36","1.713","-","2.29"
"2022/04/10","08:42","1.722","-","2.28"
"2022/04/10","08:48","1.729","-","2.3"
"2022/04/10","08:54","1.735","-","2.29"
"2022/04/10","09:00","1.738","-","2.25"
"2022/04/10","09:06","1.74","-","2.27"
"2022/04/10","09:12","1.74","-","2.3"
"2022/04/10","09:18","1.738","-","2.29"
"2022/04/10","09:24","1.734","-","2.29"
"2022/04/10","09:30","1.729","-","2.28"
"2022/04/10","09:36","1.721","-","2.25"
"2022/04/10","09:42","1.712","-","2.29"
"2022/04/10","09:48","1.701","-","2.26"
"2022/04/10","09:54","1.689","-","2.21"
"2022/04/10","10:00","1.676","-","2.25"
"2022/04/10","10:06","1.661","-","2.22"
"2022/04/10","10:12","1.645","-","2.16"
"2022/04/10","10:18","1.629","-","2.14"
"2022/04/10","10:24","1.611","-","2.17"
"2022/04/10","10:30","1.593","-","2.09"
"2022/04/10","10:36","1.575","-","2.03"
"2022/04/10","10:42","1.556","-","2.04"
"2022/04/10","10:48","1.536","-","1.96"
"2022/04/10","10:54","1.516","-","1.97"
"2022/04/10","11:00","1.496","-","1.96"
"2022/04/10","11:06","1.476","-","1.89"
